City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Wajir,KE,80.56,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
3,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Matara,LK,83.52,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
5,Sao Filipe,CV,71.74,scattered clouds,14.8961,-24.4956,Hotel Xaguate
7,Gizo,SB,85.06,overcast clouds,-8.103,156.8419,Imagination Island
8,Nhamunda,BR,74.16,broken clouds,-2.1861,-56.7131,Pousada Da Praia
10,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
16,Rockport,US,80.65,clear sky,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
21,Victoria,HK,80.65,moderate rain,22.2855,114.1577,Mini Central
22,Waingapu,ID,85.08,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
24,Isangel,VU,75.56,overcast clouds,-19.55,169.2667,Tanna Lodge
27,Rikitea,PF,77.25,light rain,-23.1203,-134.9692,People ThankYou
28,Alice Springs,AU,72.95,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
31,Vaini,TO,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
36,Faanui,PF,81.75,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
43,Meulaboh,ID,87.21,broken clouds,4.1363,96.1285,Kost Pria
44,Ankang,CN,79.79,few clouds,32.68,109.0172,安琪酒店
46,Atuona,PF,78.94,scattered clouds,-9.8,-139.0333,Villa Enata
48,Bubaque,GW,76.95,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
57,Noumea,NC,77.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
59,Soyo,AO,76.05,overcast clouds,-6.1349,12.3689,Hotel Mpampa
61,Hilo,US,74.28,mist,19.7297,-155.09,Hilo Hawaiian Hotel
63,Kavaratti,IN,84.9,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
64,Jacareacanga,BR,76.19,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
66,Manggar,ID,88.9,light rain,-2.8833,108.2667,Guest Hotel
68,Hasaki,JP,72.28,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
77,Yulara,AU,74.77,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
81,Carutapera,BR,74.39,broken clouds,-1.195,-46.02,Lidera
88,Nabire,ID,85.1,broken clouds,-3.3667,135.4833,Hotel Nusantara I
98,Carnarvon,AU,82.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
101,Baracoa,CU,73.56,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
103,Shache,CN,83.28,overcast clouds,38.4167,77.2406,Delong Hotel
110,Kattivakkam,IN,89.69,overcast clouds,13.2167,80.3167,Euronova Freezer
121,Butaritari,KI,80.91,broken clouds,3.0707,172.7902,Isles Sunset Lodge
130,Salinopolis,BR,76.8,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
131,Norsup,VU,79.29,light rain,-16.0667,167.3833,Nabelchel Bungalows
132,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
137,Simpang Empat,MY,88.03,overcast clouds,4.95,100.6333,"Fifiey Homestay 1, Selinsing RM160"
