City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Paita,PE,2022-05-12 05:51:20,-5.0892,-81.1144,66.56,81,61,10.45,broken clouds
1,Wajir,KE,2022-05-12 05:51:21,1.7471,40.0573,80.56,74,100,9.22,overcast clouds
2,Ushuaia,AR,2022-05-12 05:46:51,-54.8,-68.3,44.26,76,0,16.11,clear sky
3,Kapaa,US,2022-05-12 05:51:22,22.0752,-159.319,78.78,84,75,19.57,broken clouds
4,Matara,LK,2022-05-12 05:50:19,5.9485,80.5353,83.52,78,82,14.0,broken clouds
5,Sao Filipe,CV,2022-05-12 05:44:38,14.8961,-24.4956,71.74,83,42,6.82,scattered clouds
6,Dashitou,CN,2022-05-12 05:51:23,43.3067,128.5114,59.81,32,100,12.15,overcast clouds
7,Gizo,SB,2022-05-12 05:47:41,-8.103,156.8419,85.06,68,98,5.82,overcast clouds
8,Nhamunda,BR,2022-05-12 05:51:23,-2.1861,-56.7131,74.16,90,53,2.3,broken clouds
9,Barrow,US,2022-05-12 05:50:42,71.2906,-156.7887,30.22,93,100,12.66,mist
10,Avarua,CK,2022-05-12 05:51:24,-21.2078,-159.775,77.05,88,75,4.61,broken clouds
11,Dublin,US,2022-05-12 05:48:25,37.7021,-121.9358,52.7,74,0,16.11,clear sky
12,Busselton,AU,2022-05-12 05:51:25,-33.65,115.3333,53.28,91,100,6.11,light rain
13,Ilulissat,GL,2022-05-12 05:50:10,69.2167,-51.1,7.21,70,7,8.66,clear sky
14,Ponta Do Sol,PT,2022-05-12 05:51:26,32.6667,-17.1,66.83,80,26,3.89,scattered clouds
15,Leningradskiy,RU,2022-05-12 05:43:22,69.3833,178.4167,30.24,97,100,9.84,snow
16,Rockport,US,2022-05-12 05:51:26,28.0206,-97.0544,80.65,85,0,11.5,clear sky
17,Nome,US,2022-05-12 05:50:10,64.5011,-165.4064,39.16,87,75,18.41,broken clouds
18,Mataura,NZ,2022-05-12 05:51:27,-46.1927,168.8643,55.47,92,100,1.57,overcast clouds
19,Upernavik,GL,2022-05-12 05:51:27,72.7868,-56.1549,5.61,87,28,5.32,scattered clouds
20,Punta Arenas,CL,2022-05-12 05:51:28,-53.15,-70.9167,37.51,93,0,4.61,clear sky
21,Victoria,HK,2022-05-12 05:44:19,22.2855,114.1577,80.65,93,100,14.0,moderate rain
22,Waingapu,ID,2022-05-12 05:51:29,-9.6567,120.2641,85.08,62,49,5.64,scattered clouds
23,Bozeman,US,2022-05-12 05:49:44,45.6796,-111.0386,45.93,69,0,5.75,clear sky
24,Isangel,VU,2022-05-12 05:48:51,-19.55,169.2667,75.56,74,100,23.31,overcast clouds
25,Tiksi,RU,2022-05-12 05:41:54,71.6872,128.8694,30.25,83,79,17.67,broken clouds
26,Bluff,NZ,2022-05-12 05:51:30,-46.6,168.3333,55.8,74,100,20.0,overcast clouds
27,Rikitea,PF,2022-05-12 05:51:30,-23.1203,-134.9692,77.25,81,14,19.84,light rain
28,Alice Springs,AU,2022-05-12 05:51:31,-23.7,133.8833,72.95,32,98,5.75,overcast clouds
29,Mar Del Plata,AR,2022-05-12 05:47:42,-38.0023,-57.5575,53.87,72,85,5.99,mist
30,Chokurdakh,RU,2022-05-12 05:51:32,70.6333,147.9167,31.44,92,98,10.83,overcast clouds
31,Vaini,TO,2022-05-12 05:41:53,-21.2,-175.2,73.56,73,75,11.5,broken clouds
32,Jamestown,US,2022-05-12 05:46:45,42.097,-79.2353,54.01,73,0,4.97,clear sky
33,Washim,IN,2022-05-12 05:51:33,20.1,77.15,100.6,24,37,5.19,scattered clouds
34,Albany,US,2022-05-12 05:50:51,42.6001,-73.9662,53.55,64,4,2.1,clear sky
35,Guerrero Negro,MX,2022-05-12 05:47:42,27.9769,-114.0611,58.71,76,15,18.23,few clouds
36,Faanui,PF,2022-05-12 05:43:32,-16.4833,-151.75,81.75,77,57,15.93,light rain
37,Novo Horizonte,BR,2022-05-12 05:51:34,-21.4681,-49.2208,62.06,94,82,2.59,broken clouds
38,Hermanus,ZA,2022-05-12 05:51:34,-34.4187,19.2345,55.27,75,0,7.2,clear sky
39,Lompoc,US,2022-05-12 05:44:37,34.6391,-120.4579,50.02,80,0,21.0,clear sky
40,Katsuura,JP,2022-05-12 05:47:37,35.1333,140.3,69.44,77,100,10.67,overcast clouds
41,Port Elizabeth,ZA,2022-05-12 05:51:35,-33.918,25.5701,55.31,89,0,3.44,clear sky
42,Thompson,CA,2022-05-12 05:40:20,55.7435,-97.8558,35.76,80,0,3.44,clear sky
43,Meulaboh,ID,2022-05-12 05:51:36,4.1363,96.1285,87.21,61,84,3.27,broken clouds
44,Ankang,CN,2022-05-12 05:51:36,32.68,109.0172,79.79,51,18,5.19,few clouds
45,Anadyr,RU,2022-05-12 05:52:37,64.75,177.4833,43.3,65,40,22.37,scattered clouds
46,Atuona,PF,2022-05-12 05:52:38,-9.8,-139.0333,78.94,78,38,20.0,scattered clouds
47,Pevek,RU,2022-05-12 05:52:39,69.7008,170.3133,28.47,85,100,10.85,overcast clouds
48,Bubaque,GW,2022-05-12 05:52:39,11.2833,-15.8333,76.95,80,11,15.79,few clouds
49,North Bend,US,2022-05-12 05:52:40,43.4065,-124.2243,50.16,92,100,5.75,overcast clouds
50,Barreiras,BR,2022-05-12 05:52:40,-12.1528,-44.99,69.67,59,59,2.13,broken clouds
51,Poum,NC,2022-05-12 05:52:41,-20.2333,164.0167,76.66,76,100,26.08,overcast clouds
52,Salinas,US,2022-05-12 05:52:42,36.6777,-121.6555,52.41,78,0,5.75,clear sky
53,Codrington,AU,2022-05-12 05:43:29,-38.2667,141.9667,61.66,78,79,7.76,broken clouds
54,Iqaluit,CA,2022-05-12 05:52:43,63.7506,-68.5145,19.13,86,75,27.63,broken clouds
55,Kiama,AU,2022-05-12 05:52:43,-34.6833,150.8667,67.37,94,100,5.01,light rain
56,Kodiak,US,2022-05-12 05:52:44,57.79,-152.4072,47.71,66,100,6.91,overcast clouds
57,Noumea,NC,2022-05-12 05:50:43,-22.2763,166.4572,77.0,99,100,16.13,overcast clouds
58,Margate,GB,2022-05-12 05:47:26,51.3813,1.3862,50.7,86,27,1.01,scattered clouds
59,Soyo,AO,2022-05-12 05:49:56,-6.1349,12.3689,76.05,87,93,3.18,overcast clouds
60,East London,ZA,2022-05-12 05:52:46,-33.0153,27.9116,54.54,87,0,4.61,clear sky
61,Hilo,US,2022-05-12 05:52:47,19.7297,-155.09,74.28,92,100,9.22,mist
62,Tchibanga,GA,2022-05-12 05:52:48,-2.85,11.0333,72.48,98,100,0.78,overcast clouds
63,Kavaratti,IN,2022-05-12 05:51:45,10.5669,72.642,84.9,66,91,13.67,overcast clouds
64,Jacareacanga,BR,2022-05-12 05:52:49,-6.2222,-57.7528,76.19,80,93,0.74,overcast clouds
65,Aasiaat,GL,2022-05-12 05:52:50,68.7098,-52.8699,16.2,87,58,9.15,broken clouds
66,Manggar,ID,2022-05-12 05:52:50,-2.8833,108.2667,88.9,61,100,6.42,light rain
67,Provideniya,RU,2022-05-12 05:43:15,64.3833,-173.3,35.71,80,0,15.99,clear sky
68,Hasaki,JP,2022-05-12 05:48:14,35.7333,140.8333,72.28,77,100,12.12,light rain
69,Baiyin,CN,2022-05-12 05:52:51,36.5583,104.2081,51.39,55,53,25.72,broken clouds
70,Vardo,NO,2022-05-12 05:47:27,70.3705,31.1107,37.38,100,100,6.91,mist
71,Jaguey Grande,CU,2022-05-12 05:52:52,22.5269,-81.1286,69.03,79,0,3.69,clear sky
72,Port Alfred,ZA,2022-05-12 05:52:53,-33.5906,26.891,61.59,75,0,5.59,clear sky
73,Qaanaaq,GL,2022-05-12 05:52:53,77.484,-69.3632,9.21,67,5,7.07,clear sky
74,Lambari,BR,2022-05-12 05:52:54,-21.9756,-45.3503,57.13,95,46,2.55,scattered clouds
75,Nemuro,JP,2022-05-12 05:52:55,43.3236,145.575,47.34,95,96,15.93,overcast clouds
76,Sur,OM,2022-05-12 05:50:37,22.5667,59.5289,95.22,32,100,1.74,overcast clouds
77,Yulara,AU,2022-05-12 05:52:56,-25.2406,130.9889,74.77,21,97,4.43,overcast clouds
78,Castro,BR,2022-05-12 05:49:10,-24.7911,-50.0119,48.58,96,2,2.75,clear sky
79,Haines Junction,CA,2022-05-12 05:43:14,60.7522,-137.5108,39.15,60,34,2.3,scattered clouds
80,Badhni Kalan,IN,2022-05-12 05:52:57,30.6833,75.2833,109.74,13,0,9.28,clear sky
81,Carutapera,BR,2022-05-12 05:52:58,-1.195,-46.02,74.39,95,75,4.09,broken clouds
82,Lima,PE,2022-05-12 05:51:19,-12.0432,-77.0282,62.91,82,100,3.44,mist
83,Klaksvik,FO,2022-05-12 05:47:36,62.2266,-6.589,40.12,73,100,7.83,overcast clouds
84,Santa Cruz,BO,2022-05-12 05:52:59,-17.8,-63.1667,67.46,83,75,4.61,broken clouds
85,Negotino,MK,2022-05-12 05:51:03,41.4839,22.0892,64.2,62,31,1.41,scattered clouds
86,Severo-Kurilsk,RU,2022-05-12 05:44:50,50.6789,156.125,41.04,82,57,5.37,broken clouds
87,Ulladulla,AU,2022-05-12 05:52:53,-35.35,150.4667,65.77,94,100,4.74,light rain
88,Nabire,ID,2022-05-12 05:50:26,-3.3667,135.4833,85.1,70,78,4.94,broken clouds
89,Palaikastron,GR,2022-05-12 05:53:00,35.2,26.25,65.28,59,24,9.86,few clouds
90,Saint George,US,2022-05-12 05:43:24,37.1041,-113.5841,55.99,22,0,8.05,clear sky
91,Atasu,KZ,2022-05-12 05:53:01,48.6814,71.6433,67.23,33,24,1.23,few clouds
92,Bredasdorp,ZA,2022-05-12 05:53:02,-34.5322,20.0403,51.62,84,0,5.01,clear sky
93,Grindavik,IS,2022-05-12 05:44:58,63.8424,-22.4338,35.55,100,75,4.61,broken clouds
94,New Norfolk,AU,2022-05-12 05:54:03,-42.7826,147.0587,58.91,82,100,1.59,light rain
95,Portland,US,2022-05-12 05:44:02,45.5234,-122.6762,51.84,70,100,8.01,overcast clouds
96,Yellowknife,CA,2022-05-12 05:54:03,62.456,-114.3525,30.72,86,20,6.91,few clouds
97,Stokmarknes,NO,2022-05-12 05:54:04,68.5646,14.9108,40.98,93,75,0.0,broken clouds
98,Carnarvon,AU,2022-05-12 05:45:39,-24.8667,113.6333,82.47,57,100,32.21,overcast clouds
99,Tuktoyaktuk,CA,2022-05-12 05:54:04,69.4541,-133.0374,37.4,75,75,10.36,broken clouds
100,Ekuvukeni,ZA,2022-05-12 05:54:05,-28.4675,30.1551,54.77,83,61,2.51,broken clouds
101,Baracoa,CU,2022-05-12 05:54:05,20.3467,-74.4958,73.56,88,87,0.6,overcast clouds
102,Sioux Lookout,CA,2022-05-12 05:54:06,50.1001,-91.917,48.27,87,100,4.61,overcast clouds
103,Shache,CN,2022-05-12 05:54:06,38.4167,77.2406,83.28,20,99,19.13,overcast clouds
104,Vandra,EE,2022-05-12 05:54:07,58.6481,25.0361,47.86,98,100,5.75,overcast clouds
105,Lebu,CL,2022-05-12 05:54:07,-37.6167,-73.65,51.96,92,100,10.42,light rain
106,Cape Town,ZA,2022-05-12 05:50:03,-33.9258,18.4232,53.89,92,75,4.61,broken clouds
107,Atikokan,CA,2022-05-12 05:54:08,48.7555,-91.6216,53.58,70,100,7.16,overcast clouds
108,Fukue,JP,2022-05-12 05:54:09,32.6881,128.8419,68.36,100,75,8.05,mist
109,Alliance,US,2022-05-12 05:54:09,40.9153,-81.1059,59.99,68,24,5.7,few clouds
110,Kattivakkam,IN,2022-05-12 05:53:03,13.2167,80.3167,89.69,79,98,11.41,overcast clouds
111,Karlskrona,SE,2022-05-12 05:54:10,56.1616,15.5866,50.45,90,99,13.27,overcast clouds
112,Mount Gambier,AU,2022-05-12 05:44:54,-37.8333,140.7667,60.39,83,96,3.44,overcast clouds
113,Muros,ES,2022-05-12 05:54:11,42.7762,-9.0603,60.1,80,100,7.34,overcast clouds
114,Dikson,RU,2022-05-12 05:54:11,73.5069,80.5464,24.58,75,3,13.2,clear sky
115,Tatawin,TN,2022-05-12 05:54:12,32.9297,10.4518,58.98,83,0,4.5,clear sky
116,Urumqi,CN,2022-05-12 05:54:12,43.801,87.6005,68.95,33,0,6.71,clear sky
117,Ocampo,MX,2022-05-12 05:54:13,21.65,-101.5,54.63,90,1,9.35,clear sky
118,Nyimba,ZM,2022-05-12 05:54:13,-14.5566,30.8149,69.67,65,1,3.11,clear sky
119,Belyy Yar,RU,2022-05-12 05:54:14,53.6039,91.3903,67.89,13,0,11.18,clear sky
120,Linxia,CN,2022-05-12 05:54:14,35.6003,103.2064,69.82,40,3,19.62,clear sky
121,Butaritari,KI,2022-05-12 05:54:14,3.0707,172.7902,80.91,79,60,9.53,broken clouds
122,Carballo,ES,2022-05-12 05:54:15,43.213,-8.691,59.02,90,100,4.56,overcast clouds
123,Sitka,US,2022-05-12 05:54:15,57.0531,-135.33,44.53,77,82,3.27,broken clouds
124,Launceston,AU,2022-05-12 05:54:16,-41.45,147.1667,62.35,77,100,8.05,light rain
125,Cidreira,BR,2022-05-12 05:45:38,-30.1811,-50.2056,58.53,86,7,10.33,clear sky
126,Bethel,US,2022-05-12 05:48:56,41.3712,-73.414,61.11,79,0,0.0,clear sky
127,Larsnes,NO,2022-05-12 05:54:17,62.2028,5.5773,45.01,92,100,13.06,light rain
128,Parati,BR,2022-05-12 05:54:18,-23.2178,-44.7131,69.21,96,91,3.44,overcast clouds
129,Aksha,RU,2022-05-12 05:54:18,50.2814,113.2867,47.12,49,100,16.31,overcast clouds
130,Salinopolis,BR,2022-05-12 05:54:19,-0.6136,-47.3561,76.8,88,67,6.42,broken clouds
131,Norsup,VU,2022-05-12 05:54:19,-16.0667,167.3833,79.29,79,100,18.68,light rain
